Compound,Compound ID,Formula,Description,Link,Neutral mass (Da),m/z,Retention time (min),Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Adducts,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2
9.03_455.2837n,1001642,C24H37N7S,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-methylpiperazin-1-yl)propyl]thiourea,,455.28369970654,454.27642327454,9.03026666666667,37.5,0,1.28378657303424,88.9207350226938,"M-H, 2M-H, M-H2O-H",102834.117411157,87805.7307846172,80623.3388470637,71085.0686863896,124590.635635606,110304.965182861,71814.198604988,64492.8647677283,82990.8162783233,74846.9949629344,79225.1420882917,71729.9607603408
4.53_502.1644n,CSID10025716,C29H26O8,"13,14-Dimethoxy-7-methyl-6-methylene-5,6,7,8-tetrahydro[1,3]benzodioxolo[5′,6′:3,4]cycloocta[1,2-f][1,3]benzodioxol-5-yl benzoate",http://nonlinear.com/redirect/outbound?p=chemspider&param=10025716,502.164390679353,501.157114247353,4.53241666666667,36,0,3.23138125081921,84.0397502750505,"M-H, 2M-H",245.836863103442,210.938267402565,54557.1546379776,12244.116141254,24507.8681312755,6133.88442346317,669.763676111977,631.470389217019,50.5342392632583,14.8743851928966,694.63368801825,682.73438836727
3.71_348.1386n,1006187,C17H18F2N4O2,"N-(2,5-difluorophenyl)-2-(4-methyl-6-oxo-2-pyrrolidin-1-ylpyrimidin-1-yl)acetamide",,348.138605877634,347.131329445634,3.71378333333333,36.4,0,-3.37909657635619,86.1881687253367,"M-H, 2M-H",862.197916315765,834.323225169574,8082.70339848412,8250.61779941717,3559.3654119485,3809.2347508806,2761.28269868251,2849.21824683222,563.282168103845,698.029640963471,5320.27925501128,5365.67132482086
4.53_502.1799n,CSID67158364,C32H30O2Si2,"(3,8-Diphenyl-1,6-pyrenediyl)bis(dimethylsilanol)",http://nonlinear.com/redirect/outbound?p=chemspider&param=67158364,502.179852467459,501.172576035459,4.53241666666667,35,0,2.82661971526761,78.4841295628709,"M-H, 2M-H",929.429418821081,948.14937258267,57580.1923100755,61709.1726318689,26293.6303754384,28014.2897276086,3323.68598620752,3510.70074138164,61.6154161634173,70.39264254359,3204.22377112147,3207.96304472581
8.74_429.2676n,45268,C26H36FNO3,AL 8810 ethyl amide,,429.267622003423,428.260345571423,8.73835,36.5,0,-0.69941069830618,83.575462108807,"M-H2O-H, M-H",3921.40537023573,3341.62460535716,3237.68471756666,2901.47289152866,5702.52440464968,4946.73736299137,2685.20014178601,2397.99873426618,3405.7428038953,3084.47328786757,2667.09879094763,2474.36394305631
4.60_504.1947n,CSID129122,C27H34Cl2N2O3,Tamolarizine Dihydrochloride,http://nonlinear.com/redirect/outbound?p=chemspider&param=129122,504.194674987211,503.187398555211,4.60378333333333,29.5,0,0.053525382548573,47.6091652887748,"M-H, 2M-H",0.0,1.2741088867208,3426.9337336991,3177.44360613685,3221.75835770344,3048.47479438952,126.843137384132,150.199078811993,1.65507385300171,0.0061854444123575,408.987715154461,455.565628290329
5.32_287.0761n,CSID2054597,C16H11F2NO2,"2-(2,4-Difluorophenoxy)-1-methyl-1H-indole-3-carbaldehyde",http://nonlinear.com/redirect/outbound?p=chemspider&param=2054597,287.076147880135,286.068871448135,5.3225,45.4,40.5,1.26405692823509,87.8310176727219,"M-H, 2M-H",2239.4810655228,2081.08429289076,1487.53418019435,1529.28628942188,873.637235778486,868.176495179506,1901.20379200383,1692.85567223563,2882.13406496648,2986.66912750204,3067.82738220535,2881.21319556313
9.03_573.2191n,CSID9701850,C29H26F3N9O,N-[3-({1-[6-(Cyclopropylamino)-4-pyrimidinyl]-1H-imidazol-2-yl}amino)-4-methylphenyl]-3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)benzamide,http://nonlinear.com/redirect/outbound?p=chemspider&param=9701850,573.219115336398,572.211838904398,9.03026666666667,35.8,0,-3.7082777997198,83.152339182432,"M-H2O-H, M-H",1719.05426234986,3654.45888472066,1143.35156472275,2665.26629322665,2221.70294202801,4133.04742693358,1044.00971464716,1793.76223600934,1121.7046499685,2045.48168381731,1183.34430615724,1762.59936111206
6.75_339.1079n,1009531,C15H21N3O2S2,"N-cyclopentyl-1,2-dimethyl-5-(4-methyl-1,3-thiazol-2-yl)pyrrole-3-sulfonamide",,339.107896810815,338.100620378815,6.74565,36,0,1.11434811554393,81.567884291644,"M-H, 2M-H",4449.22621469359,3685.35260088886,1170.63106900374,1302.44746689354,449.705496267817,383.960468197911,2137.29083664834,2217.38465457852,318.401663451908,1840.89228577417,2331.91395908883,2185.0763242225
10.01_483.3142n,1004044,C26H41N7S,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,,483.314190906034,482.306914474034,10.0059,35.9,0,-0.46438183732694,79.8375183845249,"M-H2O-H, M-H",5383.10695319616,4369.54602882687,4130.1851196682,3440.50600872841,7343.70973821836,6204.82968544539,3526.05149655821,2969.69516861643,3280.64426916805,3654.02221437947,3545.34877589398,3295.79283275432
