compound_name,formula,molecular_formula,source_compound_id,description,inchikey,rank_group,is_tied
"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",C7HBrClN3,C7HBrClN3,CSID67029161,"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",,1,False
trifluoroacetic acid,C2HF3O2,C2HF3O2,HMDB14118,trifluoroacetic acid,,1,False
Trifluoroacetic acid,C2HF3O2,C2HF3O2,CSID10239201,Trifluoroacetic acid,,2,False
Trifluoroacetic acid hydrate (1:1),C2H3F3O3,C2H3F3O3,CSID11392028,Trifluoroacetic acid hydrate (1:1),,1,False
"3,4-Diethynylthiophene",C8H4S,C8H4S,CSID13318556,"3,4-Diethynylthiophene",,2,True
"2,3-Diethynylthiophene",C8H4S,C8H4S,CSID13318562,"2,3-Diethynylthiophene",,2,True
"2,4-Diethynylthiophene",C8H4S,C8H4S,CSID24184240,"2,4-Diethynylthiophene",,2,True
"Pentaleno[1,2-b]thiirene",C8H4S,C8H4S,CSID67175533,"Pentaleno[1,2-b]thiirene",,2,True
TIMTEC-BB SBB008745,C8H4S,C8H4S,CSID9518978,TIMTEC-BB SBB008745,,2,True
"Tetrazolo[1,5-a]quinazoline",C8H5N5,C8H5N5,CSID15261328,"Tetrazolo[1,5-a]quinazoline",,1,True
"tetrazolo(1,5-c)quinazoline",C8H5N5,C8H5N5,CSID244782,"tetrazolo(1,5-c)quinazoline",,1,True
imidazopyridopyrimidine,C8H5N5,C8H5N5,CSID24777349,imidazopyridopyrimidine,,1,True
"1H-[1,2,3]Triazolo[4,5-h]quinazoline",C8H5N5,C8H5N5,CSID26996386,"1H-[1,2,3]Triazolo[4,5-h]quinazoline",,1,True
"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",C8H5N5,C8H5N5,CSID28580134,"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",,1,True
"1H-[1,2,3]Triazolo[4,5-f]phthalazine",C8H5N5,C8H5N5,CSID29321288,"1H-[1,2,3]Triazolo[4,5-f]phthalazine",,1,True
"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",C8H5N5,C8H5N5,CSID29781257,"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",,1,True
"3,3,4,4-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID60752240,"3,3,4,4-Pyrrolidinetetracarbonitrile",,1,True
"3H-Imidazo[4,5-f][1,2,3]benzotriazine",C8H5N5,C8H5N5,CSID67024098,"3H-Imidazo[4,5-f][1,2,3]benzotriazine",,1,True
"1,2,2,3-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID67025418,"1,2,2,3-Pyrrolidinetetracarbonitrile",,1,True
"7H-Imidazo[4,5-h][1,2,4]benzotriazine",C8H5N5,C8H5N5,CSID67026868,"7H-Imidazo[4,5-h][1,2,4]benzotriazine",,1,True
"Pyrido[2,3-d][1,2,3]triazolo[1,5-a]pyrimidine",C8H5N5,C8H5N5,CSID67028424,"Pyrido[2,3-d][1,2,3]triazolo[1,5-a]pyrimidine",,1,True
"1H-Imidazo[4,5-h][1,2,3]benzotriazine",C8H5N5,C8H5N5,CSID67037264,"1H-Imidazo[4,5-h][1,2,3]benzotriazine",,1,True
"[1,2,3]Triazolo[4′,5′:4,5]pyrido[1,2-c]pyrimidine",C8H5N5,C8H5N5,CSID67160795,"[1,2,3]Triazolo[4′,5′:4,5]pyrido[1,2-c]pyrimidine",,1,True
"4H-Pyrazolo[3′,4′:5,6]pyrido[3,2-d]pyrimidine",C8H5N5,C8H5N5,CSID67161964,"4H-Pyrazolo[3′,4′:5,6]pyrido[3,2-d]pyrimidine",,1,True
"1H-Pyrazolo[4′,3′:5,6]pyrido[4,3-d]pyrimidine",C8H5N5,C8H5N5,CSID67163177,"1H-Pyrazolo[4′,3′:5,6]pyrido[4,3-d]pyrimidine",,1,True
"Pyrazolo[1,5-a]pteridine",C8H5N5,C8H5N5,CSID67163911,"Pyrazolo[1,5-a]pteridine",,1,True
"4H-[1,2,3]Triazolo[4,5-g]quinoxaline",C8H5N5,C8H5N5,CSID67166312,"4H-[1,2,3]Triazolo[4,5-g]quinoxaline",,1,True
"9H-Pyrido[2′,3′:3,4]cyclopenta[1,2-e][1,2,3,4]tetrazine",C8H5N5,C8H5N5,CSID67168608,"9H-Pyrido[2′,3′:3,4]cyclopenta[1,2-e][1,2,3,4]tetrazine",,1,True
"Pyrazolo[3,4-d]pyrimido[1,2-a]pyrimidine",C8H5N5,C8H5N5,CSID67169896,"Pyrazolo[3,4-d]pyrimido[1,2-a]pyrimidine",,1,True
"Tetrazolo[5,1-b]quinazoline",C8H5N5,C8H5N5,CSID67170430,"Tetrazolo[5,1-b]quinazoline",,1,True
"Imidazo[1′,5′:1,2]pyrido[4,3-d][1,2,3]triazine",C8H5N5,C8H5N5,CSID67170646,"Imidazo[1′,5′:1,2]pyrido[4,3-d][1,2,3]triazine",,1,True
"Pyrido[2′,3′:3,4]pyrazolo[5,1-c][1,2,4]triazine",C8H5N5,C8H5N5,CSID67170739,"Pyrido[2′,3′:3,4]pyrazolo[5,1-c][1,2,4]triazine",,1,True
"Pyrido[3′,2′:4,5]imidazo[1,2-d][1,2,4]triazine",C8H5N5,C8H5N5,CSID67171607,"Pyrido[3′,2′:4,5]imidazo[1,2-d][1,2,4]triazine",,1,True
"2H-2,3,5,6,9-Pentaazabenzo[cd]azulene",C8H5N5,C8H5N5,CSID67176320,"2H-2,3,5,6,9-Pentaazabenzo[cd]azulene",,1,True
"1H-Pyrrolo[2′,3′:5,6]pyrazino[2,3-d]pyridazine",C8H5N5,C8H5N5,CSID67177072,"1H-Pyrrolo[2′,3′:5,6]pyrazino[2,3-d]pyridazine",,1,True
"Tetrazolo[1,5-a]quinoxaline",C8H5N5,C8H5N5,CSID8279119,"Tetrazolo[1,5-a]quinoxaline",,1,True
2-Azidoquinazoline,C8H5N5,C8H5N5,CSID9681330,2-Azidoquinazoline,,1,True
Hyrtinadine A,C20H14N4O2,C20H14N4O2,CSID17214309,Hyrtinadine A,,1,False
bilinic acid,C20H14N4O2,C20H14N4O2,CSID66739020,bilinic acid,,2,False
"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID10160812,"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
Morusignin D,C19H18O6,C19H18O6,CSID10219127,Morusignin D,,3,True
clauslactone F,C19H18O6,C19H18O6,CSID10242763,clauslactone F,,3,True
"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",C19H18O6,C19H18O6,CSID10421090,"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",,3,True
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,CSID109529,"5,6,7,8-Tetramethoxyflavone",,3,True
"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",C19H18O6,C19H18O6,CSID129307546,"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",,3,True
"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C19H18O6,C19H18O6,CSID135195,"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",,3,True
"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",C19H18O6,C19H18O6,CSID144827,"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",,3,True
"5,6,7,4′-Tetramethoxyisoflavone",C19H18O6,C19H18O6,CSID217358,"5,6,7,4′-Tetramethoxyisoflavone",,3,True
"(6aS,12aS)-2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",C19H18O6,C19H18O6,CSID2340962,"(6aS,12aS)-2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",,3,True
SCUTEFLORIN A,C19H18O6,C19H18O6,CSID24633354,SCUTEFLORIN A,,3,True
"3,8,9,10-Tetramethoxy-6H-[1]benzofuro[3,2-c]chromene",C19H18O6,C19H18O6,CSID24843067,"3,8,9,10-Tetramethoxy-6H-[1]benzofuro[3,2-c]chromene",,3,True
cerrosillin,C19H18O6,C19H18O6,CSID24843195,cerrosillin,,3,True
"2-(2,5-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24843212,"2-(2,5-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",,3,True
"5-Hydroxy-2-(4-hydroxyphenyl)-3,7-dimethoxy-6,8-dimethyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845349,"5-Hydroxy-2-(4-hydroxyphenyl)-3,7-dimethoxy-6,8-dimethyl-4H-chromen-4-one",,3,True
"5-Hydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)-6-methyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845352,"5-Hydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)-6-methyl-4H-chromen-4-one",,3,True
"3,5,7,8-Tetramethoxy-2-phenyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845643,"3,5,7,8-Tetramethoxy-2-phenyl-4H-chromen-4-one",,3,True
"1-(1,3-Benzodioxol-5-yl)-3-(2,4-dimethoxyphenyl)-2-methyl-1,3-propanedione",C19H18O6,C19H18O6,CSID24846036,"1-(1,3-Benzodioxol-5-yl)-3-(2,4-dimethoxyphenyl)-2-methyl-1,3-propanedione",,3,True
"(2E)-2-(3,4-Dimethoxybenzylidene)-4,6-dimethoxy-1-benzofuran-3(2H)-one",C19H18O6,C19H18O6,CSID24846193,"(2E)-2-(3,4-Dimethoxybenzylidene)-4,6-dimethoxy-1-benzofuran-3(2H)-one",,3,True
(+)-sesamin monocatechol,C19H18O6,C19H18O6,CSID26394006,(+)-sesamin monocatechol,,3,True
"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",C19H18O6,C19H18O6,CSID278898,"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",,3,True
