feature_group,original_id,fragment_score,isotope_similarity,mass_error_ppm,formula,rank_group,is_tied
0.87_112.9834m/z||M-H,CSID67038442,0.0,70.2097140301775,0.898799103137395,C2H6ClOS,1,False
1.72_112.9856m/z||M-H,HMDB14118,0.0,97.3942661823667,-0.122739127270528,C2HF3O2,1,False
1.72_112.9856m/z||M-H,CSID10239201,0.0,97.3942661823667,-0.123342761437292,C2HF3O2,2,False
10.06_893.5053m/z||M-H,HMDB37256,0.0,51.6855203092638,-2.27415275649909,C54H70MgN4O6,1,False
10.06_893.5053m/z||M-H,CSID16736116,0.0,51.6855203092638,-2.27450885989259,C54H70MgN4O6,2,False
10.16_905.5030m/z||2M-H,CSID78316413,10.1,91.2579225572661,2.48798994505213,C25H32FN5O2,1,False
10.16_905.5030m/z||2M-H,45050,0.0,88.1339095605923,0.521424202777113,C24H39NO5S,2,False
10.16_905.5030m/z||2M-H,CSID2342726,0.0,88.1339095605923,0.522203742716327,C24H39NO5S,3,True
10.16_905.5030m/z||2M-H,CSID30791813,0.0,88.1339095605923,0.522203742716327,C24H39NO5S,3,True
10.16_905.5030m/z||2M-H,CSID47425,0.0,88.1339095605923,0.522203742716327,C24H39NO5S,3,True
10.16_905.5030m/z||2M-H,992325,0.0,86.802000990939,-2.42925420720433,C25H35N5OS,4,False
10.17_491.3138m/z||M-H,CSID115266914,0.0,80.3232177779714,-1.02916036493507,C25H49O7P,1,True
10.17_491.3138m/z||M-H,CSID59664358,0.0,80.3232177779714,-1.02916036493507,C25H49O7P,1,True
10.17_491.3138m/z||M-H,CSID66739000,0.0,80.3232177779714,-1.02916036493507,C25H49O7P,1,True
10.17_491.3138m/z||M-H,CSID74851452,0.0,80.3232177779714,-1.02916036493507,C25H49O7P,1,True
10.17_491.3138m/z||M-H,1041126,0.0,77.0853289408948,-0.386391159941447,C28H40N6O2,2,False
10.20_353.2050m/z||M-H,CSID56096,2.76,77.9307682702344,4.31831248467681,C22H27FN2O,1,True
10.20_353.2050m/z||M-H,CSID59009033,2.76,77.9307682702344,4.31831248467681,C22H27FN2O,1,True
10.20_383.1883m/z||M-H,CSID28282710,78.2,84.3998175186336,4.98196013321979,C23H28O5,1,True
10.20_383.1883m/z||M-H,CSID28282719,78.2,84.3998175186336,4.98196013321979,C23H28O5,1,True
10.20_383.1883m/z||M-H,CSID26347705,77.9,84.3998175186336,4.98196013321979,C23H28O5,2,False
10.20_383.1883m/z||M-H,CSID35013356,69.5,84.3998175186336,4.98196013321979,C23H28O5,3,True
10.20_383.1883m/z||M-H,CSID59696873,69.5,84.3998175186336,4.98196013321979,C23H28O5,3,True
10.20_383.1883m/z||M-H,HMDB31380,66.7,84.3998175186336,4.98197116909877,C23H28O5,4,False
10.20_383.1883m/z||M-H,CSID35014691,56.5,84.3998175186336,4.98196013321979,C23H28O5,5,False
10.20_383.1883m/z||M-H,HMDB38917,56.5,84.3998175186336,4.98197116909877,C23H28O5,6,False
10.20_383.1883m/z||M-H,CSID67492156,50.1,84.3998175186336,4.98196013321979,C23H28O5,7,False
10.20_383.1883m/z||M-H,CSID24604156,28.6,84.3998175186336,4.98196013321979,C23H28O5,8,True
10.20_383.1883m/z||M-H,CSID24604174,28.6,84.3998175186336,4.98196013321979,C23H28O5,8,True
10.20_383.1883m/z||M-H,CSID65328248,28.6,84.3998175186336,4.98196013321979,C23H28O5,8,True
10.20_383.1883m/z||M-H,HMDB14334,1.55,14.7471554718412,-3.37759537128633,C19H25BN4O4,9,False
10.20_383.1883m/z||M-H,CSID343402,1.55,14.7471554718412,-3.37837832635595,C19H25BN4O4,10,False
10.20_383.1883m/z||M-H,CSID67166887,0.0,91.0395238413426,4.14383770657249,C15H33AlO9,11,False
10.20_383.1883m/z||M-H,1032039,0.0,85.62045521473,-1.47383698771019,C21H25FN4O2,12,True
10.20_383.1883m/z||M-H,1078488,0.0,85.62045521473,-1.47383698771019,C21H25FN4O2,12,True
10.20_383.1883m/z||M-H,1094965,0.0,85.62045521473,-1.47383698771019,C21H25FN4O2,12,True
10.20_383.1883m/z||M-H,1098368,0.0,85.62045521473,-1.47383698771019,C21H25FN4O2,12,True
10.20_383.1883m/z||M-H,1080695,0.0,85.62045521473,-1.47383698785814,C21H25FN4O2,13,True
10.20_383.1883m/z||M-H,1080817,0.0,85.62045521473,-1.47383698785814,C21H25FN4O2,13,True
10.20_383.1883m/z||M-H,1083086,0.0,85.62045521473,-1.47383698785814,C21H25FN4O2,13,True
10.20_383.1883m/z||M-H,1097184,0.0,85.62045521473,-1.47383698785814,C21H25FN4O2,13,True
10.20_383.1883m/z||M-H,CSID1110674,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,CSID116496,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,CSID7997193,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,CSID8493326,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,CSID9397899,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,CSID9409535,0.0,84.3998175186336,4.98196013321979,C23H28O5,14,True
10.20_383.1883m/z||M-H,1015954,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1018334,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1018698,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1022239,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1046230,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1079930,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1089424,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,996756,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,997491,0.0,83.1144722312381,1.50087614392519,C24H24N4O,15,True
10.20_383.1883m/z||M-H,1009333,0.0,83.1144722312381,1.50087614407314,C24H24N4O,16,True
10.20_383.1883m/z||M-H,1011760,0.0,83.1144722312381,1.50087614407314,C24H24N4O,16,True
10.20_383.1883m/z||M-H,993619,0.0,83.1144722312381,1.50087614407314,C24H24N4O,16,True
10.20_383.1883m/z||M-H,997441,0.0,83.1144722312381,1.50087614407314,C24H24N4O,16,True
10.20_383.1883m/z||M-H,CSID67026661,0.0,64.0832990288131,-3.26125126238551,C23H29ClN2O,17,False
10.20_383.1883m/z||M-H,CSID4384238,0.0,14.7471554718412,-3.37837832635595,C19H25BN4O4,18,False
10.28_735.5176m/z||M-H,CSID113377573,4.1,71.9937027668844,-0.728062645637146,C39H77O10P,1,True
10.28_735.5176m/z||M-H,CSID59695401,4.1,71.9937027668844,-0.728062645637146,C39H77O10P,1,True
10.28_735.5176m/z||M-H,CSID59695411,4.1,71.9937027668844,-0.728062645637146,C39H77O10P,1,True
10.28_735.5176m/z||M-H,CSID113376820,2.31,71.9937027668844,-0.728062645637146,C39H77O10P,2,True
