compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",C7HBrClN3,C7HBrClN3,CSID67029161,"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",1,1.0
trifluoroacetic acid,C2HF3O2,C2HF3O2,HMDB14118,trifluoroacetic acid,1,0.5000151098933272
Trifluoroacetic acid,C2HF3O2,C2HF3O2,CSID10239201,Trifluoroacetic acid,2,0.49998489010667274
Trifluoroacetic acid hydrate (1:1),C2H3F3O3,C2H3F3O3,CSID11392028,Trifluoroacetic acid hydrate (1:1),1,0.17061557261976806
"3,4-Diethynylthiophene",C8H4S,C8H4S,CSID13318556,"3,4-Diethynylthiophene",2,0.1658768854760464
"2,3-Diethynylthiophene",C8H4S,C8H4S,CSID13318562,"2,3-Diethynylthiophene",3,0.1658768854760464
"2,4-Diethynylthiophene",C8H4S,C8H4S,CSID24184240,"2,4-Diethynylthiophene",4,0.1658768854760464
"Pentaleno[1,2-b]thiirene",C8H4S,C8H4S,CSID67175533,"Pentaleno[1,2-b]thiirene",5,0.1658768854760464
"Tetrazolo[1,5-a]quinazoline",C8H5N5,C8H5N5,CSID15261328,"Tetrazolo[1,5-a]quinazoline",1,0.03571428571428571
"tetrazolo(1,5-c)quinazoline",C8H5N5,C8H5N5,CSID244782,"tetrazolo(1,5-c)quinazoline",2,0.03571428571428571
imidazopyridopyrimidine,C8H5N5,C8H5N5,CSID24777349,imidazopyridopyrimidine,3,0.03571428571428571
"1H-[1,2,3]Triazolo[4,5-h]quinazoline",C8H5N5,C8H5N5,CSID26996386,"1H-[1,2,3]Triazolo[4,5-h]quinazoline",4,0.03571428571428571
"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",C8H5N5,C8H5N5,CSID28580134,"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",5,0.03571428571428571
"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID10160812,"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",1,0.00949245638876817
Morusignin D,C19H18O6,C19H18O6,CSID10219127,Morusignin D,2,0.00949245638876817
clauslactone F,C19H18O6,C19H18O6,CSID10242763,clauslactone F,3,0.00949245638876817
"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",C19H18O6,C19H18O6,CSID10421090,"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",4,0.00949245638876817
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,CSID109529,"5,6,7,8-Tetramethoxyflavone",5,0.00949245638876817
Gibberellin A59,C19H20O7,C19H20O7,HMDB35051,Gibberellin A59,1,0.013593559434382715
